,index,Rs income in constant $,Rs job is secure,Respondents income,Number of hours usually work a week,General happiness,income
16396,16396,23386,,$20000 - 24999,,Pretty happy,23386.0
16397,16397,23386,,$20000 - 24999,,Pretty happy,23386.0
16398,16398,9905,,$8000 to 9999,,Pretty happy,9905.0
16399,16399,17884,,$15000 - 19999,,Very happy,17884.0
16401,16401,8254,,$7000 to 7999,,Pretty happy,8254.0
16403,16403,550,,Lt $1000,,Very happy,550.0
16404,16404,8254,,$7000 to 7999,,Pretty happy,8254.0
16406,16406,550,,Lt $1000,,Very happy,550.0
16408,16408,12381,,$10000 - 14999,,Very happy,12381.0
16410,16410,2201,,$1000 to 2999,,Not too happy,2201.0
16412,16412,20635,,$15000 - 19999,,Very happy,20635.0
16413,16413,46773,,$25000 or more,,Not too happy,46773.0
16415,16415,33016,,$25000 or more,,Pretty happy,33016.0
16417,16417,17884,,$15000 - 19999,,Very happy,17884.0
16419,16419,23386,,$20000 - 24999,,Very happy,23386.0
16420,16420,46773,,$25000 or more,,Pretty happy,46773.0
16421,16421,12381,,$10000 - 14999,,Pretty happy,12381.0
16422,16422,23386,,$20000 - 24999,,Very happy,23386.0
16423,16423,33016,,$25000 or more,,Pretty happy,33016.0
16424,16424,4952,,$4000 to 4999,,Not too happy,4952.0
16425,16425,6053,,$5000 to 5999,,Very happy,6053.0
16427,16427,12381,,$10000 - 14999,,Very happy,12381.0
16428,16428,12381,,$10000 - 14999,,Pretty happy,12381.0
16429,16429,15132,,$10000 - 14999,,Pretty happy,15132.0
16430,16430,12381,,$10000 - 14999,,Not too happy,12381.0
16431,16431,4952,,$4000 to 4999,,Pretty happy,4952.0
16434,16434,2201,,$1000 to 2999,,Very happy,2201.0
16435,16435,7153,,$6000 to 6999,,Very happy,7153.0
16436,16436,15132,,$10000 - 14999,,Pretty happy,15132.0
16438,16438,15132,,$10000 - 14999,,Very happy,15132.0
16441,16441,4952,,$4000 to 4999,,Very happy,4952.0
16442,16442,25587,,$20000 - 24999,,Pretty happy,25587.0
16445,16445,33016,,$25000 or more,,Not too happy,33016.0
16447,16447,3852,,$3000 to 3999,,Pretty happy,3852.0
16448,16448,46773,,$25000 or more,,Very happy,46773.0
16449,16449,33016,,$25000 or more,,Pretty happy,33016.0
16450,16450,550,,Lt $1000,,Very happy,550.0
16451,16451,15132,,$10000 - 14999,,Pretty happy,15132.0
16453,16453,6053,,$5000 to 5999,,Very happy,6053.0
16454,16454,7153,,$6000 to 6999,,Pretty happy,7153.0
16455,16455,20635,,$15000 - 19999,,Pretty happy,20635.0
16456,16456,2201,,$1000 to 2999,,Pretty happy,2201.0
16457,16457,17884,,$15000 - 19999,,Pretty happy,17884.0
16459,16459,46773,,$25000 or more,,Pretty happy,46773.0
16460,16460,33016,,$25000 or more,,Pretty happy,33016.0
16462,16462,2201,,$1000 to 2999,8,Pretty happy,2201.0
16463,16463,550,,Lt $1000,,Pretty happy,550.0
16464,16464,33016,,$25000 or more,,Not too happy,33016.0
16465,16465,33016,,$25000 or more,,Not too happy,33016.0
16466,16466,33016,,$25000 or more,,Very happy,33016.0
16467,16467,12381,,$10000 - 14999,,Very happy,12381.0
16469,16469,15132,,$10000 - 14999,,Not too happy,15132.0
16473,16473,9905,,$8000 to 9999,,Very happy,9905.0
16474,16474,15132,,$10000 - 14999,,Very happy,15132.0
16475,16475,2201,,$1000 to 2999,,Pretty happy,2201.0
16476,16476,23386,,$20000 - 24999,,Pretty happy,23386.0
16477,16477,2201,,$1000 to 2999,,Pretty happy,2201.0
16478,16478,12381,,$10000 - 14999,,Very happy,12381.0
16479,16479,9905,,$8000 to 9999,,Pretty happy,9905.0
16482,16482,25587,,$20000 - 24999,,Very happy,25587.0
16484,16484,17884,,$15000 - 19999,,Pretty happy,17884.0
16485,16485,6053,,$5000 to 5999,,Not too happy,6053.0
16486,16486,33016,,$25000 or more,,Not too happy,33016.0
16487,16487,23386,,$20000 - 24999,,Very happy,23386.0
16488,16488,33016,,$25000 or more,,Very happy,33016.0
16490,16490,15132,,$10000 - 14999,,Very happy,15132.0
16491,16491,23386,,$20000 - 24999,,Pretty happy,23386.0
16493,16493,12381,,$10000 - 14999,,Pretty happy,12381.0
16494,16494,33016,,$25000 or more,,Pretty happy,33016.0
16495,16495,12381,,$10000 - 14999,,Pretty happy,12381.0
16496,16496,2201,,$1000 to 2999,,Pretty happy,2201.0
16497,16497,12381,,$10000 - 14999,,Pretty happy,12381.0
16499,16499,12381,,$10000 - 14999,45,Pretty happy,12381.0
16500,16500,20635,,$15000 - 19999,,Very happy,20635.0
16502,16502,4952,,$4000 to 4999,,Pretty happy,4952.0
16503,16503,33016,,$25000 or more,,Not too happy,33016.0
16505,16505,33016,,$25000 or more,,Pretty happy,33016.0
16506,16506,15132,,$10000 - 14999,,Pretty happy,15132.0
16507,16507,25587,,$20000 - 24999,,Very happy,25587.0
16512,16512,6053,,$5000 to 5999,,Pretty happy,6053.0
16514,16514,550,,Lt $1000,,Pretty happy,550.0
16515,16515,9905,,$8000 to 9999,,,9905.0
16518,16518,15132,,$10000 - 14999,,Pretty happy,15132.0
16519,16519,7153,,$6000 to 6999,,Very happy,7153.0
16520,16520,33016,,$25000 or more,,Very happy,33016.0
16521,16521,15132,,$10000 - 14999,,Very happy,15132.0
16522,16522,8254,,$7000 to 7999,,Pretty happy,8254.0
16523,16523,550,,Lt $1000,,Pretty happy,550.0
16524,16524,15132,,$10000 - 14999,,Pretty happy,15132.0
16525,16525,33016,,$25000 or more,,Very happy,33016.0
16526,16526,12381,,$10000 - 14999,,Pretty happy,12381.0
16527,16527,20635,,$15000 - 19999,,Not too happy,20635.0
16530,16530,87058,,$25000 or more,40,Very happy,87058.0
16531,16531,87058,,$25000 or more,,Pretty happy,87058.0
16532,16532,8254,,$7000 to 7999,,Pretty happy,8254.0
16536,16536,33016,,$25000 or more,,Very happy,33016.0
16537,16537,3852,,$3000 to 3999,,Pretty happy,3852.0
16539,16539,46773,,$25000 or more,,Very happy,46773.0
16540,16540,87058,,$25000 or more,,Pretty happy,87058.0
16542,16542,12381,,$10000 - 14999,,Very happy,12381.0
16548,16548,12381,,$10000 - 14999,,Pretty happy,12381.0
16550,16550,46773,,$25000 or more,47,Very happy,46773.0
16551,16551,46773,,$25000 or more,,Not too happy,46773.0
16553,16553,9905,,$8000 to 9999,,Pretty happy,9905.0
16555,16555,87058,,$25000 or more,,Pretty happy,87058.0
16556,16556,46773,,$25000 or more,,Not too happy,46773.0
16561,16561,550,,Lt $1000,,Pretty happy,550.0
16562,16562,15132,,$10000 - 14999,40,Pretty happy,15132.0
16563,16563,46773,,$25000 or more,,Very happy,46773.0
16564,16564,12381,,$10000 - 14999,,Very happy,12381.0
16565,16565,8254,,$7000 to 7999,,Very happy,8254.0
16566,16566,550,,Lt $1000,,Not too happy,550.0
16567,16567,8254,,$7000 to 7999,,Very happy,8254.0
16568,16568,15132,,$10000 - 14999,,Not too happy,15132.0
16569,16569,15132,,$10000 - 14999,,Very happy,15132.0
16571,16571,25587,,$20000 - 24999,,Not too happy,25587.0
16572,16572,87058,,$25000 or more,,Pretty happy,87058.0
16574,16574,12381,,$10000 - 14999,,Pretty happy,12381.0
16575,16575,15132,,$10000 - 14999,,Not too happy,15132.0
16579,16579,9905,,$8000 to 9999,,Not too happy,9905.0
16582,16582,23386,,$20000 - 24999,,Very happy,23386.0
16584,16584,15132,,$10000 - 14999,,Pretty happy,15132.0
16585,16585,46773,,$25000 or more,66,Pretty happy,46773.0
16586,16586,33016,,$25000 or more,,Pretty happy,33016.0
16590,16590,17884,,$15000 - 19999,,Pretty happy,17884.0
16591,16591,23386,,$20000 - 24999,,Pretty happy,23386.0
16592,16592,15132,,$10000 - 14999,,Pretty happy,15132.0
16594,16594,46773,,$25000 or more,,Very happy,46773.0
16595,16595,12381,,$10000 - 14999,,Pretty happy,12381.0
16596,16596,46773,,$25000 or more,,Pretty happy,46773.0
16597,16597,2201,,$1000 to 2999,,Pretty happy,2201.0
16598,16598,87058,,$25000 or more,,Very happy,87058.0
16601,16601,15132,,$10000 - 14999,,Very happy,15132.0
16602,16602,2201,,$1000 to 2999,,Pretty happy,2201.0
16604,16604,20635,,$15000 - 19999,,Pretty happy,20635.0
16605,16605,33016,,$25000 or more,,Pretty happy,33016.0
16606,16606,25587,,$20000 - 24999,,Very happy,25587.0
16607,16607,87058,,$25000 or more,,Very happy,87058.0
16608,16608,33016,,$25000 or more,,Pretty happy,33016.0
16609,16609,33016,,$25000 or more,,Very happy,33016.0
16610,16610,12381,,$10000 - 14999,,Pretty happy,12381.0
16611,16611,23386,,$20000 - 24999,,Pretty happy,23386.0
16612,16612,6053,,$5000 to 5999,,Pretty happy,6053.0
16614,16614,17884,,$15000 - 19999,,Very happy,17884.0
16615,16615,33016,,$25000 or more,,Pretty happy,33016.0
16617,16617,2201,,$1000 to 2999,,Very happy,2201.0
16618,16618,2201,,$1000 to 2999,,Not too happy,2201.0
16619,16619,33016,,$25000 or more,,Very happy,33016.0
16620,16620,25587,,$20000 - 24999,,Very happy,25587.0
16622,16622,17884,,$15000 - 19999,,Very happy,17884.0
16623,16623,25587,,$20000 - 24999,,Pretty happy,25587.0
16624,16624,15132,,$10000 - 14999,,Pretty happy,15132.0
16625,16625,2201,,$1000 to 2999,,Pretty happy,2201.0
16626,16626,7153,,$6000 to 6999,,Very happy,7153.0
16627,16627,2201,,$1000 to 2999,,Pretty happy,2201.0
16630,16630,2201,,$1000 to 2999,,Very happy,2201.0
16631,16631,12381,,$10000 - 14999,,Pretty happy,12381.0
16632,16632,15132,,$10000 - 14999,,Pretty happy,15132.0
16634,16634,12381,,$10000 - 14999,,Very happy,12381.0
16638,16638,46773,,$25000 or more,,Pretty happy,46773.0
16639,16639,2201,,$1000 to 2999,,Pretty happy,2201.0
16642,16642,25587,,$20000 - 24999,,Pretty happy,25587.0
16643,16643,9905,,$8000 to 9999,,Pretty happy,9905.0
16645,16645,33016,,$25000 or more,,Very happy,33016.0
16646,16646,12381,,$10000 - 14999,,Pretty happy,12381.0
16647,16647,33016,,$25000 or more,,Pretty happy,33016.0
16652,16652,17884,,$15000 - 19999,,Not too happy,17884.0
16653,16653,33016,,$25000 or more,,Pretty happy,33016.0
16654,16654,12381,,$10000 - 14999,,Pretty happy,12381.0
16655,16655,3852,,$3000 to 3999,,Pretty happy,3852.0
16656,16656,7153,,$6000 to 6999,,Pretty happy,7153.0
16658,16658,4952,,$4000 to 4999,,Pretty happy,4952.0
16659,16659,17884,,$15000 - 19999,,Pretty happy,17884.0
16662,16662,2201,,$1000 to 2999,,Pretty happy,2201.0
16663,16663,550,,Lt $1000,,Pretty happy,550.0
16664,16664,33016,,$25000 or more,,Pretty happy,33016.0
16666,16666,12381,,$10000 - 14999,,Pretty happy,12381.0
16667,16667,550,,Lt $1000,,Pretty happy,550.0
16668,16668,20635,,$15000 - 19999,,Pretty happy,20635.0
16669,16669,4952,,$4000 to 4999,,Pretty happy,4952.0
16670,16670,15132,,$10000 - 14999,,Very happy,15132.0
16671,16671,15132,,$10000 - 14999,,Very happy,15132.0
16674,16674,2201,,$1000 to 2999,,Pretty happy,2201.0
16675,16675,12381,,$10000 - 14999,,Pretty happy,12381.0
16676,16676,15132,,$10000 - 14999,,Pretty happy,15132.0
16678,16678,12381,,$10000 - 14999,,Very happy,12381.0
16679,16679,23386,,$20000 - 24999,,Very happy,23386.0
16680,16680,2201,,$1000 to 2999,,Not too happy,2201.0
16681,16681,15132,,$10000 - 14999,,Very happy,15132.0
16682,16682,3852,,$3000 to 3999,,Pretty happy,3852.0
16683,16683,20635,,$15000 - 19999,,Pretty happy,20635.0
16684,16684,7153,,$6000 to 6999,,Pretty happy,7153.0
16686,16686,23386,,$20000 - 24999,,Pretty happy,23386.0
16688,16688,17884,,$15000 - 19999,,Pretty happy,17884.0
16689,16689,12381,,$10000 - 14999,,Very happy,12381.0
16690,16690,9905,,$8000 to 9999,,Pretty happy,9905.0
16691,16691,25587,,$20000 - 24999,,Pretty happy,25587.0
16692,16692,9905,,$8000 to 9999,,Pretty happy,9905.0
16694,16694,15132,,$10000 - 14999,,Pretty happy,15132.0
16699,16699,20635,,$15000 - 19999,,Very happy,20635.0
16700,16700,550,,Lt $1000,,Very happy,550.0
16701,16701,4952,,$4000 to 4999,,Very happy,4952.0
16702,16702,15132,,$10000 - 14999,30,Pretty happy,15132.0
16704,16704,87058,,$25000 or more,,Pretty happy,87058.0
16707,16707,550,,Lt $1000,,Very happy,550.0
16710,16710,17884,,$15000 - 19999,,Pretty happy,17884.0
16711,16711,2201,,$1000 to 2999,23,Pretty happy,2201.0
16712,16712,87058,,$25000 or more,,Pretty happy,87058.0
16714,16714,87058,,$25000 or more,,Very happy,87058.0
16715,16715,6053,,$5000 to 5999,,Not too happy,6053.0
16717,16717,15132,,$10000 - 14999,,Not too happy,15132.0
16718,16718,46773,,$25000 or more,,Pretty happy,46773.0
16722,16722,4952,,$4000 to 4999,,Pretty happy,4952.0
16723,16723,20635,,$15000 - 19999,,Pretty happy,20635.0
16725,16725,12381,,$10000 - 14999,,Very happy,12381.0
16726,16726,15132,,$10000 - 14999,,Very happy,15132.0
16729,16729,25587,,$20000 - 24999,,Pretty happy,25587.0
16730,16730,2201,,$1000 to 2999,,Pretty happy,2201.0
16731,16731,550,,Lt $1000,,Pretty happy,550.0
16732,16732,87058,,$25000 or more,,Very happy,87058.0
16733,16733,33016,,$25000 or more,,Pretty happy,33016.0
16734,16734,15132,,$10000 - 14999,,Pretty happy,15132.0
16735,16735,8254,,$7000 to 7999,,Pretty happy,8254.0
16737,16737,4952,,$4000 to 4999,36,Very happy,4952.0
16740,16740,7153,,$6000 to 6999,,Pretty happy,7153.0
16741,16741,12381,,$10000 - 14999,,Pretty happy,12381.0
16742,16742,87058,,$25000 or more,,Very happy,87058.0
16745,16745,23386,,$20000 - 24999,,Pretty happy,23386.0
16748,16748,2201,,$1000 to 2999,,Very happy,2201.0
16750,16750,2201,,$1000 to 2999,,Pretty happy,2201.0
16754,16754,6053,,$5000 to 5999,,Very happy,6053.0
16756,16756,2201,,$1000 to 2999,,Pretty happy,2201.0
16758,16758,2201,,$1000 to 2999,,Pretty happy,2201.0
16759,16759,12381,,$10000 - 14999,,Very happy,12381.0
16761,16761,20635,,$15000 - 19999,,Very happy,20635.0
16765,16765,9905,,$8000 to 9999,,Very happy,9905.0
16766,16766,46773,,$25000 or more,,Pretty happy,46773.0
16767,16767,2201,,$1000 to 2999,,Pretty happy,2201.0
16768,16768,550,,Lt $1000,,Very happy,550.0
16769,16769,33016,,$25000 or more,,Very happy,33016.0
16770,16770,2201,,$1000 to 2999,,Pretty happy,2201.0
16771,16771,33016,,$25000 or more,,Not too happy,33016.0
16772,16772,33016,,$25000 or more,,Pretty happy,33016.0
16774,16774,6053,,$5000 to 5999,,Pretty happy,6053.0
16775,16775,20635,,$15000 - 19999,,Very happy,20635.0
16776,16776,12381,,$10000 - 14999,,Pretty happy,12381.0
16777,16777,8254,,$7000 to 7999,,Pretty happy,8254.0
16778,16778,550,,Lt $1000,,Pretty happy,550.0
16780,16780,3852,,$3000 to 3999,,Pretty happy,3852.0
16782,16782,3852,,$3000 to 3999,,Pretty happy,3852.0
16783,16783,2201,,$1000 to 2999,,Pretty happy,2201.0
16784,16784,12381,,$10000 - 14999,,Very happy,12381.0
16786,16786,12381,,$10000 - 14999,,Pretty happy,12381.0
16787,16787,15132,,$10000 - 14999,45,Pretty happy,15132.0
16788,16788,2201,,$1000 to 2999,,Very happy,2201.0
16789,16789,7153,,$6000 to 6999,,Very happy,7153.0
16790,16790,6053,,$5000 to 5999,,Pretty happy,6053.0
16791,16791,8254,,$7000 to 7999,,Very happy,8254.0
16794,16794,46773,,$25000 or more,,Very happy,46773.0
16795,16795,33016,,$25000 or more,,Pretty happy,33016.0
16796,16796,12381,,$10000 - 14999,,Not too happy,12381.0
16797,16797,9905,,$8000 to 9999,,Very happy,9905.0
16799,16799,46773,,$25000 or more,,Pretty happy,46773.0
16800,16800,23386,,$20000 - 24999,,Not too happy,23386.0
16801,16801,4952,,$4000 to 4999,,Not too happy,4952.0
16802,16802,20635,,$15000 - 19999,,Pretty happy,20635.0
16804,16804,8254,,$7000 to 7999,,Pretty happy,8254.0
16805,16805,2201,,$1000 to 2999,,Very happy,2201.0
16806,16806,7153,,$6000 to 6999,,Pretty happy,7153.0
16807,16807,15132,,$10000 - 14999,,Not too happy,15132.0
16808,16808,20635,,$15000 - 19999,,Pretty happy,20635.0
16809,16809,20635,,$15000 - 19999,,Pretty happy,20635.0
16810,16810,23386,,$20000 - 24999,,Pretty happy,23386.0
16811,16811,12381,,$10000 - 14999,,Pretty happy,12381.0
16814,16814,4952,,$4000 to 4999,,Very happy,4952.0
16817,16817,15132,,$10000 - 14999,,Very happy,15132.0
16819,16819,550,,Lt $1000,55,Not too happy,550.0
16820,16820,25587,,$20000 - 24999,,Pretty happy,25587.0
16823,16823,17884,,$15000 - 19999,,Pretty happy,17884.0
16825,16825,12381,,$10000 - 14999,,Very happy,12381.0
16826,16826,33016,,$25000 or more,,Pretty happy,33016.0
16827,16827,8254,,$7000 to 7999,,Pretty happy,8254.0
16828,16828,6053,,$5000 to 5999,,Pretty happy,6053.0
16830,16830,17884,,$15000 - 19999,,Very happy,17884.0
16832,16832,9905,,$8000 to 9999,,Not too happy,9905.0
16833,16833,550,,Lt $1000,,Very happy,550.0
16834,16834,8254,,$7000 to 7999,,Very happy,8254.0
16835,16835,3852,,$3000 to 3999,,Pretty happy,3852.0
16836,16836,8254,,$7000 to 7999,,Very happy,8254.0
16840,16840,15132,,$10000 - 14999,,Very happy,15132.0
16841,16841,2201,,$1000 to 2999,,Pretty happy,2201.0
16842,16842,2201,,$1000 to 2999,,Pretty happy,2201.0
16845,16845,17884,,$15000 - 19999,,Very happy,17884.0
16846,16846,550,,Lt $1000,7,Pretty happy,550.0
16847,16847,3852,,$3000 to 3999,,Very happy,3852.0
16848,16848,15132,,$10000 - 14999,,Not too happy,15132.0
16850,16850,15132,,$10000 - 14999,,Pretty happy,15132.0
16851,16851,3852,,$3000 to 3999,,Pretty happy,3852.0
16852,16852,46773,,$25000 or more,,Very happy,46773.0
16853,16853,9905,,$8000 to 9999,,Pretty happy,9905.0
16854,16854,4952,,$4000 to 4999,,Not too happy,4952.0
16855,16855,7153,,$6000 to 6999,,Pretty happy,7153.0
16859,16859,9905,,$8000 to 9999,,Pretty happy,9905.0
16860,16860,9905,,$8000 to 9999,,Very happy,9905.0
16861,16861,2201,,$1000 to 2999,,Pretty happy,2201.0
16862,16862,6053,,$5000 to 5999,,Not too happy,6053.0
16863,16863,9905,,$8000 to 9999,,Pretty happy,9905.0
16864,16864,17884,,$15000 - 19999,,Pretty happy,17884.0
16866,16866,9905,,$8000 to 9999,50,Pretty happy,9905.0
16867,16867,12381,,$10000 - 14999,,Very happy,12381.0
16868,16868,12381,,$10000 - 14999,,Very happy,12381.0
16869,16869,17884,,$15000 - 19999,,Pretty happy,17884.0
16870,16870,15132,,$10000 - 14999,,Pretty happy,15132.0
16871,16871,8254,,$7000 to 7999,,Pretty happy,8254.0
16872,16872,15132,,$10000 - 14999,,Not too happy,15132.0
16873,16873,33016,,$25000 or more,,Very happy,33016.0
16876,16876,46773,,$25000 or more,,Pretty happy,46773.0
16877,16877,20635,,$15000 - 19999,,Very happy,20635.0
16879,16879,7153,,$6000 to 6999,,Very happy,7153.0
16880,16880,23386,,$20000 - 24999,,Pretty happy,23386.0
16882,16882,23386,,$20000 - 24999,,Pretty happy,23386.0
16883,16883,20635,,$15000 - 19999,,Very happy,20635.0
16884,16884,9905,,$8000 to 9999,,Pretty happy,9905.0
16886,16886,6053,,$5000 to 5999,,Very happy,6053.0
16891,16891,4952,,$4000 to 4999,,Very happy,4952.0
16893,16893,2201,,$1000 to 2999,,Pretty happy,2201.0
16894,16894,46773,,$25000 or more,,Very happy,46773.0
16896,16896,9905,,$8000 to 9999,,Very happy,9905.0
16897,16897,3852,,$3000 to 3999,,Pretty happy,3852.0
16898,16898,3852,,$3000 to 3999,,Very happy,3852.0
16899,16899,6053,,$5000 to 5999,,Very happy,6053.0
16902,16902,12381,,$10000 - 14999,,Very happy,12381.0
16903,16903,46773,,$25000 or more,,Very happy,46773.0
16905,16905,20635,,$15000 - 19999,,Pretty happy,20635.0
16906,16906,87058,,$25000 or more,,Not too happy,87058.0
16907,16907,8254,,$7000 to 7999,,Pretty happy,8254.0
16911,16911,12381,,$10000 - 14999,,Pretty happy,12381.0
16913,16913,20635,,$15000 - 19999,,Pretty happy,20635.0
16915,16915,550,,Lt $1000,,Pretty happy,550.0
16916,16916,7153,,$6000 to 6999,,Very happy,7153.0
16917,16917,17884,,$15000 - 19999,,Pretty happy,17884.0
16921,16921,4952,,$4000 to 4999,,Very happy,4952.0
16922,16922,87058,,$25000 or more,,Pretty happy,87058.0
16924,16924,8254,,$7000 to 7999,,Pretty happy,8254.0
16925,16925,12381,,$10000 - 14999,,Pretty happy,12381.0
16926,16926,8254,,$7000 to 7999,,Pretty happy,8254.0
16927,16927,17884,,$15000 - 19999,40,Very happy,17884.0
16928,16928,25587,,$20000 - 24999,,Pretty happy,25587.0
16934,16934,23386,,$20000 - 24999,,Not too happy,23386.0
16936,16936,3852,,$3000 to 3999,,Pretty happy,3852.0
16937,16937,20635,,$15000 - 19999,,Very happy,20635.0
16939,16939,87058,,$25000 or more,,Very happy,87058.0
16940,16940,2201,,$1000 to 2999,24,Pretty happy,2201.0
16941,16941,550,,Lt $1000,,Pretty happy,550.0
16943,16943,87058,,$25000 or more,,Pretty happy,87058.0
16945,16945,12381,,$10000 - 14999,,Very happy,12381.0
16946,16946,12381,,$10000 - 14999,,Pretty happy,12381.0
16948,16948,3852,,$3000 to 3999,,Very happy,3852.0
16950,16950,9905,,$8000 to 9999,,Pretty happy,9905.0
16951,16951,6053,,$5000 to 5999,,Pretty happy,6053.0
16961,16961,4952,,$4000 to 4999,,Very happy,4952.0
16962,16962,17884,,$15000 - 19999,,Pretty happy,17884.0
16965,16965,2201,,$1000 to 2999,,Pretty happy,2201.0
16967,16967,6053,,$5000 to 5999,,Pretty happy,6053.0
16969,16969,8254,,$7000 to 7999,,Very happy,8254.0
16972,16972,6053,,$5000 to 5999,,Pretty happy,6053.0
16973,16973,550,,Lt $1000,,Very happy,550.0
16974,16974,9905,,$8000 to 9999,,Very happy,9905.0
16975,16975,33016,,$25000 or more,,Pretty happy,33016.0
16978,16978,3852,,$3000 to 3999,,Pretty happy,3852.0
16981,16981,9905,,$8000 to 9999,,Pretty happy,9905.0
16982,16982,20635,,$15000 - 19999,,Very happy,20635.0
16984,16984,2201,,$1000 to 2999,,Pretty happy,2201.0
16985,16985,15132,,$10000 - 14999,,Very happy,15132.0
16986,16986,12381,,$10000 - 14999,,Pretty happy,12381.0
16988,16988,12381,,$10000 - 14999,,Pretty happy,12381.0
16989,16989,12381,,$10000 - 14999,,Very happy,12381.0
16992,16992,6053,,$5000 to 5999,,Pretty happy,6053.0
16995,16995,3852,,$3000 to 3999,,Pretty happy,3852.0
16997,16997,12381,,$10000 - 14999,,Pretty happy,12381.0
16998,16998,8254,,$7000 to 7999,,Very happy,8254.0
17001,17001,12381,,$10000 - 14999,45,Pretty happy,12381.0
17002,17002,8254,,$7000 to 7999,,Very happy,8254.0
17003,17003,15132,,$10000 - 14999,,Pretty happy,15132.0
17004,17004,8254,,$7000 to 7999,,Very happy,8254.0
17005,17005,46773,,$25000 or more,,Very happy,46773.0
17006,17006,12381,,$10000 - 14999,,Pretty happy,12381.0
17007,17007,33016,,$25000 or more,,Very happy,33016.0
17008,17008,23386,,$20000 - 24999,,Very happy,23386.0
17010,17010,33016,,$25000 or more,,Pretty happy,33016.0
17011,17011,4952,,$4000 to 4999,,Very happy,4952.0
17012,17012,12381,,$10000 - 14999,,Very happy,12381.0
17013,17013,17884,,$15000 - 19999,,Very happy,17884.0
17015,17015,87058,,$25000 or more,,Pretty happy,87058.0
17016,17016,4952,,$4000 to 4999,,Pretty happy,4952.0
17018,17018,23386,,$20000 - 24999,,Very happy,23386.0
17019,17019,12381,,$10000 - 14999,,Pretty happy,12381.0
17020,17020,8254,,$7000 to 7999,,Pretty happy,8254.0
17021,17021,3852,,$3000 to 3999,,Pretty happy,3852.0
17022,17022,46773,,$25000 or more,,Very happy,46773.0
17023,17023,33016,,$25000 or more,,Not too happy,33016.0
17026,17026,17884,,$15000 - 19999,,Pretty happy,17884.0
17027,17027,17884,,$15000 - 19999,,Pretty happy,17884.0
17029,17029,20635,,$15000 - 19999,,Very happy,20635.0
17033,17033,3852,,$3000 to 3999,,Pretty happy,3852.0
17035,17035,23386,,$20000 - 24999,,Pretty happy,23386.0
17036,17036,12381,,$10000 - 14999,,Pretty happy,12381.0
17037,17037,4952,,$4000 to 4999,,Pretty happy,4952.0
17038,17038,20635,,$15000 - 19999,,Very happy,20635.0
17039,17039,25587,,$20000 - 24999,,Pretty happy,25587.0
17040,17040,33016,,$25000 or more,,Not too happy,33016.0
17042,17042,25587,,$20000 - 24999,,Pretty happy,25587.0
17047,17047,33016,,$25000 or more,,Pretty happy,33016.0
17050,17050,2201,,$1000 to 2999,,Pretty happy,2201.0
17052,17052,22432,,$20000 - 24999,,Pretty happy,22432.0
17053,17053,96036,,$25000 or more,,Pretty happy,96036.0
17054,17054,528,,Lt $1000,,Pretty happy,528.0
17055,17055,11876,,$10000 - 14999,60,Pretty happy,11876.0
17056,17056,14515,,$10000 - 14999,,Pretty happy,14515.0
17057,17057,11876,,$10000 - 14999,,Pretty happy,11876.0
17058,17058,17154,,$15000 - 19999,37,Pretty happy,17154.0
17062,17062,6861,,$6000 to 6999,,Very happy,6861.0
17067,17067,22432,,$20000 - 24999,,Pretty happy,22432.0
17069,17069,17154,,$15000 - 19999,,Very happy,17154.0
17077,17077,17154,,$15000 - 19999,,Pretty happy,17154.0
17079,17079,14515,,$10000 - 14999,,Not too happy,14515.0
17081,17081,44863,,$25000 or more,,Very happy,44863.0
17082,17082,96036,,$25000 or more,,Pretty happy,96036.0
17083,17083,31668,,$25000 or more,,Very happy,31668.0
17085,17085,31668,,$25000 or more,,Pretty happy,31668.0
17088,17088,6861,,$6000 to 6999,,Pretty happy,6861.0
17089,17089,14515,,$10000 - 14999,,Not too happy,14515.0
17093,17093,31668,,$25000 or more,,Pretty happy,31668.0
17094,17094,14515,,$10000 - 14999,,Pretty happy,14515.0
17095,17095,14515,,$10000 - 14999,,Pretty happy,14515.0
17096,17096,96036,,$25000 or more,,Not too happy,96036.0
17097,17097,44863,,$25000 or more,,Very happy,44863.0
17100,17100,19793,,$15000 - 19999,,Pretty happy,19793.0
17101,17101,5806,,$5000 to 5999,,Pretty happy,5806.0
17102,17102,96036,,$25000 or more,,Pretty happy,96036.0
17104,17104,44863,,$25000 or more,60,Pretty happy,44863.0
17107,17107,528,,Lt $1000,,Pretty happy,528.0
17108,17108,9500,,$8000 to 9999,,Very happy,9500.0
17109,17109,19793,,$15000 - 19999,,Pretty happy,19793.0
17111,17111,3695,,$3000 to 3999,,Pretty happy,3695.0
17112,17112,2111,,$1000 to 2999,,Pretty happy,2111.0
17113,17113,31668,,$25000 or more,,Pretty happy,31668.0
17114,17114,19793,,$15000 - 19999,,Not too happy,19793.0
17115,17115,2111,,$1000 to 2999,,Pretty happy,2111.0
17117,17117,31668,,$25000 or more,,Not too happy,31668.0
17118,17118,14515,,$10000 - 14999,,Not too happy,14515.0
17119,17119,31668,,$25000 or more,,Pretty happy,31668.0
17120,17120,3695,,$3000 to 3999,,Pretty happy,3695.0
17121,17121,528,,Lt $1000,,Not too happy,528.0
17122,17122,9500,,$8000 to 9999,,Very happy,9500.0
