,index,Rs income in constant $,Rs job is secure,Respondents income,Number of hours usually work a week,General happiness,income
63264,63264,17025,,$25000 or more,,Very happy,17025.0
63266,63266,10782.5,,$20000 - 24999,30,Very happy,10782.5
63267,63267,10782.5,,$20000 - 24999,,Very happy,10782.5
63268,63268,2497,,$5000 to 5999,,Very happy,2497.0
63269,63269,5107.5,,$10000 - 14999,,Pretty happy,5107.5
63270,63270,9647.5,,$20000 - 24999,,Pretty happy,9647.5
63272,63272,63560,,$25000 or more,,Very happy,63560.0
63273,63273,24970,,$25000 or more,,Pretty happy,24970.0
63274,63274,12485,,$25000 or more,,Not too happy,12485.0
63276,63276,20430,,$25000 or more,,Very happy,20430.0
63277,63277,17025,,$25000 or more,,Not too happy,17025.0
63279,63279,8512.5,,$15000 - 19999,,Very happy,8512.5
63280,63280,3405,,$7000 to 7999,,Very happy,3405.0
63281,63281,9647.5,,$20000 - 24999,,Not too happy,9647.5
63285,63285,2951,,$6000 to 6999,,Pretty happy,2951.0
63286,63286,5107.5,,$10000 - 14999,,Very happy,5107.5
63288,63288,3405,,$7000 to 7999,,Pretty happy,3405.0
63291,63291,30645,,$25000 or more,,Very happy,30645.0
63293,63293,63560,,$25000 or more,,Not too happy,63560.0
63294,63294,37455,,$25000 or more,,Very happy,37455.0
63296,63296,63560,,$25000 or more,,Very happy,63560.0
63298,63298,1589,,$3000 to 3999,,Pretty happy,1589.0
63299,63299,151050.7214,,Refused,,Pretty happy,151050.7214
63300,63300,24970,,$25000 or more,,Not too happy,24970.0
63301,63301,151050.7214,,Refused,,Very happy,151050.7214
63304,63304,24970,,$25000 or more,,Pretty happy,24970.0
63305,63305,30645,,$25000 or more,,Pretty happy,30645.0
63306,63306,2497,,$5000 to 5999,,Very happy,2497.0
63307,63307,6242.5,,$10000 - 14999,,Not too happy,6242.5
63308,63308,9647.5,,$20000 - 24999,,Pretty happy,9647.5
63310,63310,30645,,$25000 or more,,Very happy,30645.0
63312,63312,14755,,$25000 or more,,Very happy,14755.0
63313,63313,20430,,$25000 or more,,Very happy,20430.0
63314,63314,5107.5,,$10000 - 14999,,Pretty happy,5107.5
63315,63315,17025,,$25000 or more,,Pretty happy,17025.0
63317,63317,20430,,$25000 or more,,Very happy,20430.0
63319,63319,37455,,$25000 or more,,Very happy,37455.0
63320,63320,30645,,$25000 or more,,Not too happy,30645.0
63321,63321,24970,,$25000 or more,,Very happy,24970.0
63324,63324,45400,,$25000 or more,,Very happy,45400.0
63326,63326,30645,,$25000 or more,,Pretty happy,30645.0
63327,63327,227,,Lt $1000,,Pretty happy,227.0
63329,63329,8512.5,,$15000 - 19999,,Very happy,8512.5
63330,63330,20430,,$25000 or more,,Very happy,20430.0
63331,63331,908,,$1000 to 2999,,Pretty happy,908.0
63332,63332,908,,$1000 to 2999,,Not too happy,908.0
63334,63334,30645,,$25000 or more,,Very happy,30645.0
63335,63335,6242.5,,$10000 - 14999,,Pretty happy,6242.5
63338,63338,6242.5,,$10000 - 14999,,Very happy,6242.5
63340,63340,7377.5,,$15000 - 19999,,Very happy,7377.5
63341,63341,63560,,$25000 or more,,Very happy,63560.0
63342,63342,30645,,$25000 or more,,Pretty happy,30645.0
63345,63345,30645,,$25000 or more,,Very happy,30645.0
63346,63346,20430,,$25000 or more,,Pretty happy,20430.0
63347,63347,9647.5,,$20000 - 24999,,Pretty happy,9647.5
63349,63349,14755,,$25000 or more,,Pretty happy,14755.0
63350,63350,30645,,$25000 or more,,Pretty happy,30645.0
63351,63351,9647.5,,$20000 - 24999,40,Pretty happy,9647.5
63352,63352,20430,,$25000 or more,,Pretty happy,20430.0
63355,63355,10782.5,,$20000 - 24999,,Pretty happy,10782.5
63357,63357,14755,,$25000 or more,,Pretty happy,14755.0
63360,63360,8512.5,,$15000 - 19999,,Very happy,8512.5
63361,63361,30645,,$25000 or more,,Pretty happy,30645.0
63362,63362,12485,,$25000 or more,,Pretty happy,12485.0
63365,63365,45400,,$25000 or more,,Pretty happy,45400.0
63367,63367,24970,,$25000 or more,,Pretty happy,24970.0
63368,63368,14755,,$25000 or more,,Not too happy,14755.0
63369,63369,14755,,$25000 or more,,Pretty happy,14755.0
63370,63370,1589,,$3000 to 3999,,Very happy,1589.0
63372,63372,908,,$1000 to 2999,,Pretty happy,908.0
63376,63376,227,,Lt $1000,,Not too happy,227.0
63377,63377,10782.5,,$20000 - 24999,,Pretty happy,10782.5
63378,63378,14755,,$25000 or more,,Pretty happy,14755.0
63379,63379,24970,,$25000 or more,40,Pretty happy,24970.0
63380,63380,24970,,$25000 or more,,Pretty happy,24970.0
63381,63381,12485,,$25000 or more,,Pretty happy,12485.0
63383,63383,17025,,$25000 or more,,Pretty happy,17025.0
63387,63387,14755,,$25000 or more,,Pretty happy,14755.0
63388,63388,12485,,$25000 or more,,Very happy,12485.0
63390,63390,63560,,$25000 or more,,Pretty happy,63560.0
63393,63393,37455,,$25000 or more,,Pretty happy,37455.0
63394,63394,14755,,$25000 or more,,Very happy,14755.0
63399,63399,14755,,$25000 or more,,Very happy,14755.0
63400,63400,20430,,$25000 or more,,Pretty happy,20430.0
63402,63402,54480,,$25000 or more,,Very happy,54480.0
63403,63403,37455,,$25000 or more,,Very happy,37455.0
63404,63404,908,,$1000 to 2999,,Very happy,908.0
63406,63406,30645,,$25000 or more,,Pretty happy,30645.0
63410,63410,24970,,$25000 or more,,Pretty happy,24970.0
63413,63413,10782.5,,$20000 - 24999,,Pretty happy,10782.5
63418,63418,24970,,$25000 or more,,Pretty happy,24970.0
63424,63424,227,,Lt $1000,,Very happy,227.0
63425,63425,20430,,$25000 or more,,Very happy,20430.0
63426,63426,14755,,$25000 or more,,Not too happy,14755.0
63427,63427,14755,,$25000 or more,,Pretty happy,14755.0
63428,63428,30645,,$25000 or more,,Pretty happy,30645.0
63430,63430,37455,,$25000 or more,,Pretty happy,37455.0
63432,63432,3405,,$7000 to 7999,,Pretty happy,3405.0
63433,63433,24970,,$25000 or more,,Pretty happy,24970.0
63434,63434,45400,,$25000 or more,,Very happy,45400.0
63435,63435,12485,,$25000 or more,,Not too happy,12485.0
63436,63436,30645,,$25000 or more,,Not too happy,30645.0
63437,63437,24970,,$25000 or more,,Pretty happy,24970.0
63438,63438,20430,,$25000 or more,,Not too happy,20430.0
63439,63439,10782.5,,$20000 - 24999,,Pretty happy,10782.5
63440,63440,20430,,$25000 or more,,Pretty happy,20430.0
63442,63442,54480,,$25000 or more,,Very happy,54480.0
63443,63443,151050.7214,,Refused,,Very happy,151050.7214
63445,63445,37455,,$25000 or more,,Pretty happy,37455.0
63446,63446,24970,,$25000 or more,,Very happy,24970.0
63447,63447,20430,,$25000 or more,,Pretty happy,20430.0
63450,63450,54480,,$25000 or more,,Pretty happy,54480.0
63451,63451,45400,,$25000 or more,,Pretty happy,45400.0
63452,63452,2497,,$5000 to 5999,,Very happy,2497.0
63453,63453,45400,,$25000 or more,,Very happy,45400.0
63454,63454,227,,Lt $1000,,Not too happy,227.0
63455,63455,6242.5,,$10000 - 14999,,Not too happy,6242.5
63457,63457,6242.5,,$10000 - 14999,,Not too happy,6242.5
63458,63458,3405,,$7000 to 7999,,Pretty happy,3405.0
63460,63460,20430,,$25000 or more,,Pretty happy,20430.0
63461,63461,7377.5,,$15000 - 19999,,Not too happy,7377.5
63464,63464,6242.5,,$10000 - 14999,,Pretty happy,6242.5
63465,63465,17025,,$25000 or more,,Pretty happy,17025.0
63469,63469,5107.5,,$10000 - 14999,,Not too happy,5107.5
63471,63471,45400,,$25000 or more,42,Pretty happy,45400.0
63472,63472,20430,,$25000 or more,,Very happy,20430.0
63473,63473,37455,,$25000 or more,50,Pretty happy,37455.0
63474,63474,20430,,$25000 or more,,Pretty happy,20430.0
63475,63475,151050.7214,,Refused,,Pretty happy,151050.7214
63476,63476,8512.5,,$15000 - 19999,,Not too happy,8512.5
63477,63477,12485,,$25000 or more,,Very happy,12485.0
63478,63478,37455,,$25000 or more,,Pretty happy,37455.0
63479,63479,37455,,$25000 or more,,Pretty happy,37455.0
63480,63480,45400,,$25000 or more,,Pretty happy,45400.0
63481,63481,20430,,$25000 or more,,Very happy,20430.0
63482,63482,1589,,$3000 to 3999,,Very happy,1589.0
63483,63483,20430,,$25000 or more,,Not too happy,20430.0
63484,63484,14755,,$25000 or more,,Very happy,14755.0
63486,63486,20430,,$25000 or more,,Pretty happy,20430.0
63487,63487,10782.5,,$20000 - 24999,,Pretty happy,10782.5
63490,63490,151050.7214,,Refused,,Pretty happy,151050.7214
63491,63491,45400,,$25000 or more,,Very happy,45400.0
