,index,week_web,week_email,week_tv,weekend_internet,weekend_internet_minutes,weekday_internet,weekday_internet_minutes,Gss year for this respondent                       ,General happiness,internet_per_week,screen_time_per_week
61050,61050,15,8,1,1,30,2,30,2016.0,Pretty happy,12,27
61054,61054,10,2,1,2,0,1,30,2016.0,Not too happy,9,18
61058,61058,80,5,1,4,0,12,0,2016.0,Pretty happy,68,80
61060,61060,7,0,1,1,0,0,30,2016.0,Pretty happy,2,9
61067,61067,9,1,3,2,0,1,0,2016.0,Pretty happy,9,31
61071,61071,7,3,1,1,0,1,0,2016.0,Very happy,7,17
61077,61077,15,2,4,6,0,6,0,2016.0,Pretty happy,42,72
61078,61078,34,8,3,1,0,8,0,2016.0,Pretty happy,42,71
61080,61080,30,5,1,5,0,5,0,2016.0,Pretty happy,35,47
61083,61083,0,0,4,1,0,2,0,2016.0,Pretty happy,12,40
61085,61085,20,7,6,0,0,20,0,2016.0,Pretty happy,100,149
61089,61089,70,50,3,10,0,15,0,2016.0,Very happy,95,166
61093,61093,14,30,2,4,0,10,0,2016.0,Pretty happy,58,102
61099,61099,20,30,1,1,0,2,0,2016.0,Very happy,12,49
61102,61102,10,8,6,5,0,3,0,2016.0,Very happy,25,75
61113,61113,12,3,2,5,0,2,0,2016.0,Not too happy,20,37
61119,61119,1,1,4,2,0,1,0,2016.0,Very happy,9,38
61122,61122,10,2,3,1,0,1,0,2016.0,Pretty happy,7,30
61126,61126,1,0,5,0,10,0,10,2016.0,Not too happy,0,35
61131,61131,4,2,1,0,30,0,30,2016.0,Pretty happy,0,9
61136,61136,2,2,3,0,30,0,0,2016.0,Pretty happy,0,23
61139,61139,5,5,0,2,0,1,0,2016.0,Not too happy,9,14
61141,61141,30,4,5,5,0,5,30,2016.0,Pretty happy,35,74
61143,61143,5,1,2,2,0,1,0,2016.0,Not too happy,9,24
61146,61146,7,2,4,0,0,0,0,2016.0,Not too happy,0,30
61149,61149,16,7,0,1,0,0,30,2016.0,Pretty happy,2,9
61162,61162,30,12,2,6,0,4,0,2016.0,Pretty happy,32,58
61169,61169,10,10,2,1,0,1,30,2016.0,Pretty happy,7,31
61182,61182,56,60,1,0,0,1,0,2016.0,Pretty happy,5,72
61187,61187,20,1,2,1,0,1,0,2016.0,Pretty happy,7,22
61190,61190,14,7,4,2,0,2,0,2016.0,Pretty happy,14,49
61200,61200,15,3,2,1,0,1,0,2016.0,Pretty happy,7,24
61205,61205,10,8,2,4,0,2,0,2016.0,Pretty happy,18,40
61208,61208,3,4,1,1,0,0,20,2016.0,Very happy,2,13
61209,61209,40,50,2,2,0,1,0,2016.0,Pretty happy,9,73
61212,61212,10,25,2,1,0,3,0,2016.0,Pretty happy,17,56
61216,61216,4,35,2,2,0,5,0,2016.0,Very happy,29,78
61219,61219,42,45,2,2,0,2,0,2016.0,Pretty happy,14,73
61221,61221,2,0,1,1,0,1,0,2016.0,Very happy,7,14
61226,61226,5,2,1,1,0,1,0,2016.0,Very happy,7,16
61233,61233,70,7,1,5,0,5,0,2016.0,Pretty happy,35,49
61235,61235,2,5,1,1,0,1,0,2016.0,Pretty happy,7,19
61243,61243,5,6,1,1,0,1,0,2016.0,Pretty happy,7,20
61244,61244,10,15,5,2,0,2,0,2016.0,Pretty happy,14,64
61257,61257,7,7,0,1,30,1,30,2016.0,Not too happy,7,14
61268,61268,15,5,1,4,0,2,30,2016.0,Pretty happy,18,30
61270,61270,20,3,0,3,0,3,0,2016.0,Pretty happy,21,24
61275,61275,4,0,2,6,0,4,0,2016.0,Pretty happy,32,46
